year,co2 global mean(ppm),co2 uncertainty(ppm)
1984,344.5,0.1
1985,345.9,0.1
1986,347.3,0.2
1987,349.1,0.2
1988,351.4,0.2
1989,353.1,0.2
1990,354.3,0.1
1991,355.6,0.1
1992,356.3,0.1
1993,357.1,0.1
1994,358.7,0.1
1995,360.5,0.1
1996,362.3,0.1
1997,363.5,0.1
1998,366.1,0.1
1999,368.2,0.2
2000,369.6,0.2
2001,371.1,0.2
2002,373.1,0.2
2003,375.5,0.2
2004,377.3,0.2
2005,379.4,0.1
2006,381.5,0.1
2007,383.4,0.2
2008,385.4,0.1
2009,387.0,0.1
2010,389.1,0.2
2011,391.1,0.2
2012,393.3,0.2
2013,396.0,0.2
2014,398.0,0.2
2015,400.3,0.2
2016,403.6,0.2
2017,405.8,0.2
2018,408.1,0.2
2019,410.7,0.2
2020,413.2,0.2
2021,415.7,0.2
