year,month,mole fraction(ppm),trend(ppm),growth rate(ppm/yr)
1984,1,345.28,343.76,NaN
1984,2,345.69,343.89,NaN
1984,3,345.91,344.03,NaN
1984,4,345.97,344.15,NaN
1984,5,345.46,344.28,NaN
1984,6,344.23,344.40,NaN
1984,7,342.58,344.52,NaN
1984,8,341.63,344.64,NaN
1984,9,342.10,344.76,NaN
1984,10,343.59,344.88,NaN
1984,11,345.14,345.00,NaN
1984,12,346.13,345.11,NaN
1985,1,346.70,345.23,1.39
1985,2,347.05,345.35,1.39
1985,3,347.32,345.46,1.39
1985,4,347.32,345.58,1.39
1985,5,346.86,345.69,1.39
1985,6,345.65,345.81,1.39
1985,7,344.00,345.93,1.40
1985,8,343.00,346.04,1.40
1985,9,343.45,346.16,1.41
1985,10,344.99,346.28,1.42
1985,11,346.54,346.40,1.43
1985,12,347.50,346.52,1.44
1986,1,348.08,346.64,1.45
1986,2,348.48,346.76,1.45
1986,3,348.71,346.88,1.45
1986,4,348.73,347.00,1.46
1986,5,348.28,347.12,1.46
1986,6,347.11,347.24,1.48
1986,7,345.44,347.37,1.51
1986,8,344.47,347.49,1.54
1986,9,344.94,347.62,1.59
1986,10,346.50,347.76,1.65
1986,11,348.00,347.90,1.72
1986,12,348.90,348.05,1.80
1987,1,349.48,348.20,1.88
1987,2,349.88,348.36,1.96
1987,3,350.17,348.53,2.03
1987,4,350.34,348.70,2.10
1987,5,350.01,348.88,2.16
1987,6,348.98,349.06,2.21
1987,7,347.40,349.24,2.25
1987,8,346.47,349.43,2.27
1987,9,346.97,349.62,2.29
1987,10,348.54,349.81,2.30
1987,11,350.10,350.01,2.30
1987,12,351.21,350.20,2.29
1988,1,351.84,350.39,2.28
1988,2,352.27,350.58,2.26
1988,3,352.54,350.76,2.23
1988,4,352.71,350.95,2.20
1988,5,352.31,351.13,2.16
1988,6,351.17,351.31,2.11
1988,7,349.64,351.48,2.05
1988,8,348.76,351.65,1.99
1988,9,349.28,351.81,1.92
1988,10,350.87,351.97,1.84
1988,11,352.31,352.12,1.76
1988,12,353.29,352.26,1.69
1989,1,353.94,352.40,1.61
1989,2,354.31,352.53,1.55
1989,3,354.51,352.66,1.49
1989,4,354.54,352.78,1.43
1989,5,354.03,352.90,1.38
1989,6,352.82,353.01,1.33
1989,7,351.24,353.12,1.29
1989,8,350.29,353.23,1.25
1989,9,350.76,353.33,1.22
1989,10,352.23,353.43,1.20
1989,11,353.73,353.53,1.18
1989,12,354.64,353.63,1.18
1990,1,355.15,353.72,1.18
1990,2,355.48,353.82,1.19
1990,3,355.71,353.92,1.21
1990,4,355.71,354.03,1.24
1990,5,355.22,354.13,1.27
1990,6,353.99,354.24,1.30
1990,7,352.36,354.35,1.33
1990,8,351.40,354.46,1.36
1990,9,351.91,354.57,1.37
1990,10,353.48,354.69,1.38
1990,11,354.97,354.80,1.36
1990,12,355.92,354.91,1.34
1991,1,356.49,355.02,1.29
1991,2,356.92,355.13,1.24
1991,3,357.16,355.23,1.17
1991,4,357.13,355.33,1.11
1991,5,356.70,355.42,1.04
1991,6,355.46,355.50,0.97
1991,7,353.72,355.58,0.91
1991,8,352.65,355.65,0.86
1991,9,353.07,355.72,0.82
1991,10,354.57,355.79,0.78
1991,11,356.03,355.85,0.76
1991,12,356.86,355.91,0.74
1992,1,357.36,355.97,0.72
1992,2,357.65,356.03,0.71
1992,3,357.86,356.09,0.70
1992,4,357.94,356.15,0.70
1992,5,357.48,356.21,0.69
1992,6,356.14,356.27,0.69
1992,7,354.48,356.32,0.69
1992,8,353.44,356.38,0.70
1992,9,353.74,356.44,0.71
1992,10,355.28,356.50,0.73
1992,11,356.60,356.56,0.76
1992,12,357.49,356.63,0.80
1993,1,358.04,356.69,0.85
1993,2,358.34,356.77,0.90
1993,3,358.65,356.84,0.97
1993,4,358.68,356.93,1.04
1993,5,358.14,357.02,1.11
1993,6,356.88,357.11,1.18
1993,7,355.23,357.22,1.25
1993,8,354.30,357.32,1.32
1993,9,354.70,357.43,1.38
1993,10,356.25,357.55,1.43
1993,11,357.70,357.67,1.47
1993,12,358.66,357.80,1.51
1994,1,359.38,357.92,1.55
1994,2,359.84,358.05,1.58
1994,3,360.05,358.19,1.61
1994,4,360.08,358.32,1.63
1994,5,359.59,358.46,1.66
1994,6,358.39,358.60,1.68
1994,7,356.81,358.74,1.71
1994,8,355.88,358.88,1.73
1994,9,356.25,359.03,1.75
1994,10,357.89,359.18,1.78
1994,11,359.44,359.33,1.81
1994,12,360.43,359.48,1.85
1995,1,361.06,359.63,1.89
1995,2,361.49,359.79,1.92
1995,3,361.75,359.95,1.96
1995,4,361.87,360.12,1.98
1995,5,361.45,360.28,2.00
1995,6,360.23,360.45,2.01
1995,7,358.66,360.62,2.01
1995,8,357.68,360.79,2.00
1995,9,358.27,360.95,1.97
1995,10,359.94,361.11,1.93
1995,11,361.53,361.27,1.88
1995,12,362.50,361.43,1.81
1996,1,363.16,361.57,1.73
1996,2,363.58,361.71,1.64
1996,3,363.71,361.85,1.54
1996,4,363.72,361.97,1.45
1996,5,363.31,362.09,1.35
1996,6,362.13,362.20,1.27
1996,7,360.59,362.30,1.20
1996,8,359.54,362.40,1.14
1996,9,359.83,362.49,1.10
1996,10,361.35,362.58,1.08
1996,11,362.72,362.67,1.09
1996,12,363.62,362.76,1.12
1997,1,364.26,362.86,1.17
1997,2,364.54,362.96,1.24
1997,3,364.71,363.06,1.34
1997,4,364.87,363.18,1.45
1997,5,364.50,363.30,1.58
1997,6,363.18,363.44,1.72
1997,7,361.53,363.59,1.88
1997,8,360.53,363.75,2.04
1997,9,361.00,363.93,2.21
1997,10,362.71,364.12,2.37
1997,11,364.33,364.33,2.53
1997,12,365.40,364.54,2.66
1998,1,366.14,364.77,2.78
1998,2,366.59,365.01,2.87
1998,3,366.94,365.25,2.93
1998,4,367.16,365.50,2.96
1998,5,366.90,365.74,2.94
1998,6,365.94,365.99,2.89
1998,7,364.51,366.22,2.80
1998,8,363.65,366.45,2.68
1998,9,364.19,366.67,2.53
1998,10,365.87,366.87,2.38
1998,11,367.43,367.07,2.22
1998,12,368.35,367.24,2.06
1999,1,368.99,367.41,1.91
1999,2,369.40,367.56,1.78
1999,3,369.63,367.71,1.67
1999,4,369.64,367.84,1.58
1999,5,369.15,367.97,1.50
1999,6,367.89,368.09,1.45
1999,7,366.23,368.21,1.42
1999,8,365.28,368.33,1.41
1999,9,365.79,368.45,1.40
1999,10,367.27,368.56,1.41
1999,11,368.86,368.68,1.42
1999,12,369.80,368.80,1.44
2000,1,370.44,368.92,1.46
2000,2,370.75,369.04,1.49
2000,3,370.91,369.17,1.51
2000,4,370.98,369.30,1.53
2000,5,370.49,369.42,1.54
2000,6,369.33,369.55,1.54
2000,7,367.79,369.68,1.54
2000,8,366.80,369.81,1.54
2000,9,367.26,369.94,1.54
2000,10,368.89,370.07,1.53
2000,11,370.41,370.19,1.52
2000,12,371.43,370.32,1.52
2001,1,371.99,370.45,1.52
2001,2,372.23,370.57,1.52
2001,3,372.47,370.70,1.54
2001,4,372.51,370.83,1.56
2001,5,372.01,370.96,1.58
2001,6,370.84,371.09,1.61
2001,7,369.26,371.23,1.66
2001,8,368.30,371.37,1.70
2001,9,368.81,371.51,1.76
2001,10,370.46,371.66,1.81
2001,11,371.92,371.81,1.87
2001,12,372.93,371.97,1.93
2002,1,373.58,372.13,1.98
2002,2,373.97,372.30,2.04
2002,3,374.18,372.47,2.09
2002,4,374.31,372.65,2.14
2002,5,373.91,372.83,2.19
2002,6,372.74,373.02,2.24
2002,7,371.27,373.21,2.29
2002,8,370.43,373.40,2.34
2002,9,370.89,373.60,2.38
2002,10,372.61,373.80,2.41
2002,11,374.11,374.00,2.43
2002,12,375.12,374.20,2.44
2003,1,375.82,374.40,2.43
2003,2,376.30,374.61,2.41
2003,3,376.60,374.81,2.37
2003,4,376.82,375.00,2.33
2003,5,376.44,375.19,2.27
2003,6,375.29,375.38,2.20
2003,7,373.76,375.56,2.13
2003,8,372.98,375.73,2.05
2003,9,373.31,375.90,1.97
2003,10,374.86,376.06,1.89
2003,11,376.35,376.22,1.82
2003,12,377.32,376.36,1.75
2004,1,377.99,376.51,1.70
2004,2,378.46,376.65,1.67
2004,3,378.66,376.79,1.65
2004,4,378.66,376.92,1.65
2004,5,378.21,377.06,1.67
2004,6,377.02,377.20,1.71
2004,7,375.40,377.35,1.76
2004,8,374.40,377.50,1.83
2004,9,374.80,377.65,1.89
2004,10,376.40,377.81,1.97
2004,11,378.03,377.98,2.04
2004,12,379.03,378.15,2.11
2005,1,379.74,378.33,2.18
2005,2,380.23,378.52,2.25
2005,3,380.49,378.70,2.30
2005,4,380.63,378.90,2.34
2005,5,380.29,379.09,2.36
2005,6,379.20,379.29,2.37
2005,7,377.55,379.49,2.36
2005,8,376.65,379.68,2.33
2005,9,377.20,379.88,2.30
2005,10,378.78,380.07,2.24
2005,11,380.44,380.25,2.18
2005,12,381.55,380.43,2.11
2006,1,382.22,380.60,2.04
2006,2,382.63,380.77,1.97
2006,3,382.86,380.93,1.90
2006,4,382.90,381.09,1.84
2006,5,382.43,381.24,1.79
2006,6,381.23,381.39,1.76
2006,7,379.67,381.53,1.74
2006,8,378.64,381.68,1.74
2006,9,379.09,381.82,1.75
2006,10,380.63,381.97,1.78
2006,11,382.18,382.12,1.82
2006,12,383.12,382.27,1.87
2007,1,383.77,382.43,1.93
2007,2,384.30,382.59,1.99
2007,3,384.57,382.76,2.05
2007,4,384.61,382.94,2.11
2007,5,384.28,383.11,2.15
2007,6,383.14,383.29,2.19
2007,7,381.57,383.48,2.21
2007,8,380.59,383.66,2.22
2007,9,381.14,383.85,2.20
2007,10,382.81,384.03,2.17
2007,11,384.26,384.21,2.13
2007,12,385.39,384.38,2.08
2008,1,386.18,384.56,2.02
2008,2,386.60,384.72,1.95
2008,3,386.86,384.88,1.89
2008,4,386.94,385.04,1.84
2008,5,386.41,385.19,1.78
2008,6,385.24,385.33,1.73
2008,7,383.56,385.48,1.69
2008,8,382.53,385.61,1.65
2008,9,382.99,385.75,1.61
2008,10,384.47,385.88,1.58
2008,11,386.03,386.01,1.56
2008,12,387.23,386.14,1.54
2009,1,387.92,386.27,1.53
2009,2,388.27,386.40,1.54
2009,3,388.45,386.53,1.55
2009,4,388.43,386.66,1.58
2009,5,387.97,386.79,1.62
2009,6,386.70,386.93,1.66
2009,7,384.99,387.07,1.72
2009,8,383.96,387.21,1.80
2009,9,384.43,387.37,1.88
2009,10,386.16,387.53,1.97
2009,11,387.71,387.70,2.06
2009,12,388.79,387.87,2.15
2010,1,389.58,388.05,2.23
2010,2,390.06,388.24,2.31
2010,3,390.23,388.44,2.36
2010,4,390.34,388.64,2.39
2010,5,389.96,388.84,2.39
2010,6,388.80,389.03,2.37
2010,7,387.23,389.23,2.32
2010,8,386.46,389.42,2.26
2010,9,387.05,389.61,2.19
2010,10,388.69,389.79,2.11
2010,11,390.24,389.96,2.03
2010,12,391.34,390.12,1.96
2011,1,391.88,390.29,1.90
2011,2,392.29,390.44,1.85
2011,3,392.50,390.59,1.82
2011,4,392.40,390.75,1.81
2011,5,391.95,390.90,1.81
2011,6,390.73,391.05,1.83
2011,7,389.11,391.20,1.86
2011,8,388.22,391.36,1.90
2011,9,388.69,391.52,1.96
2011,10,390.47,391.68,2.02
2011,11,392.08,391.86,2.08
2011,12,393.00,392.03,2.15
2012,1,393.73,392.21,2.22
2012,2,394.17,392.40,2.29
2012,3,394.41,392.59,2.37
2012,4,394.49,392.80,2.44
2012,5,394.02,393.00,2.52
2012,6,392.80,393.22,2.59
2012,7,391.23,393.43,2.66
2012,8,390.49,393.66,2.72
2012,9,391.10,393.89,2.76
2012,10,392.95,394.12,2.79
2012,11,394.62,394.35,2.79
2012,12,395.73,394.58,2.77
2013,1,396.38,394.81,2.73
2013,2,396.83,395.04,2.67
2013,3,397.13,395.26,2.60
2013,4,397.37,395.47,2.51
2013,5,396.96,395.68,2.42
2013,6,395.81,395.88,2.33
2013,7,394.14,396.07,2.24
2013,8,393.37,396.25,2.16
2013,9,393.66,396.43,2.09
2013,10,395.40,396.60,2.04
2013,11,396.90,396.77,2.00
2013,12,397.97,396.93,1.97
2014,1,398.61,397.09,1.95
2014,2,398.99,397.26,1.94
2014,3,399.29,397.42,1.95
2014,4,399.28,397.58,1.97
2014,5,398.93,397.75,1.99
2014,6,397.71,397.91,2.03
2014,7,396.04,398.08,2.06
2014,8,395.10,398.26,2.10
2014,9,395.66,398.43,2.14
2014,10,397.23,398.61,2.19
2014,11,398.93,398.80,2.24
2014,12,400.01,398.99,2.30
2015,1,400.70,399.18,2.36
2015,2,401.19,399.38,2.44
2015,3,401.41,399.59,2.52
2015,4,401.47,399.80,2.61
2015,5,401.06,400.02,2.71
2015,6,399.87,400.25,2.81
2015,7,398.41,400.49,2.91
2015,8,397.53,400.74,3.01
2015,9,398.04,400.99,3.10
2015,10,399.95,401.26,3.18
2015,11,401.63,401.52,3.24
2015,12,402.81,401.80,3.27
2016,1,403.65,402.07,3.28
2016,2,404.08,402.34,3.27
2016,3,404.61,402.61,3.23
2016,4,404.74,402.88,3.16
2016,5,404.44,403.14,3.08
2016,6,403.27,403.39,2.98
2016,7,401.68,403.64,2.87
2016,8,400.87,403.87,2.75
2016,9,401.63,404.10,2.63
2016,10,403.27,404.31,2.51
2016,11,404.77,404.51,2.40
2016,12,405.74,404.71,2.30
2017,1,406.44,404.90,2.22
2017,2,406.90,405.08,2.15
2017,3,407.16,405.26,2.11
2017,4,407.19,405.43,2.08
2017,5,406.81,405.60,2.07
2017,6,405.58,405.78,2.08
2017,7,404.01,405.95,2.10
2017,8,402.92,406.13,2.13
2017,9,403.35,406.31,2.16
2017,10,405.11,406.49,2.19
2017,11,406.83,406.67,2.22
2017,12,407.85,406.86,2.25
2018,1,408.56,407.04,2.27
2018,2,409.13,407.23,2.29
2018,3,409.38,407.43,2.31
2018,4,409.48,407.62,2.34
2018,5,408.86,407.82,2.36
2018,6,407.80,408.01,2.39
2018,7,406.16,408.21,2.42
2018,8,405.29,408.42,2.46
2018,9,405.69,408.62,2.50
2018,10,407.51,408.84,2.54
2018,11,409.27,409.05,2.59
2018,12,410.27,409.27,2.63
2019,1,410.98,409.49,2.66
2019,2,411.40,409.71,2.67
2019,3,411.74,409.93,2.68
2019,4,411.94,410.16,2.68
2019,5,411.60,410.38,2.66
2019,6,410.54,410.60,2.63
2019,7,408.85,410.82,2.59
2019,8,407.97,411.03,2.55
2019,9,408.61,411.24,2.51
2019,10,410.26,411.45,2.48
2019,11,411.89,411.65,2.46
2019,12,412.86,411.86,2.45
2020,1,413.60,412.06,2.44
2020,2,413.88,412.27,2.45
2020,3,414.28,412.47,2.45
2020,4,414.47,412.68,2.47
2020,5,414.03,412.88,2.49
2020,6,412.82,413.09,2.51
2020,7,411.21,413.30,2.53
2020,8,410.41,413.51,2.53
2020,9,411.06,413.72,2.54
2020,10,412.72,413.93,2.54
2020,11,414.37,414.15,2.53
2020,12,415.48,414.36,2.52
2021,1,416.06,414.57,2.50
2021,2,416.51,414.77,2.48
2021,3,416.84,414.98,2.47
2021,4,416.93,415.18,2.45
2021,5,416.60,415.39,2.43
2021,6,415.44,415.59,2.41
2021,7,413.83,415.79,2.39
2021,8,412.77,415.99,2.36
2021,9,413.45,416.18,2.34
2021,10,415.15,416.38,2.31
2021,11,416.82,416.57,2.28
2021,12,417.91,416.76,2.24
2022,1,418.51,416.94,NaN
2022,2,418.96,417.12,NaN
2022,3,419.18,417.30,NaN
2022,4,419.22,417.48,NaN
2022,5,418.84,417.65,NaN
2022,6,417.65,417.82,NaN
2022,7,415.95,417.99,NaN
2022,8,415.13,418.16,NaN
2022,9,415.61,418.33,NaN
2022,10,417.18,418.50,NaN
2022,11,418.87,418.67,NaN
2022,12,419.89,418.84,NaN
