É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2024/10/27 10:48:43

,élì˙és,élì˙és,élì˙és,élì˙és,élì˙és,élì˙és,élì˙és,élì˙és,élì˙és,élì˙és,élì˙és
îNåéì˙,ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ç≈çÇãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘)
,,,,,,,,,,,
,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ
2017/1/1,0,1,8,1,12.2,8,1,3.5,0,8,1
2017/1/2,0,1,8,1,12.9,8,1,8.2,0,8,1
2017/1/3,0.0,0,8,1,12.8,8,1,5.7,0,8,1
2017/1/4,0.0,0,8,1,12.9,8,1,3.4,0,8,1
2017/1/5,0,1,8,1,10.0,8,1,7.7,0,8,1
2017/1/6,0,1,8,1,9.5,8,1,7.6,0,8,1
2017/1/7,0,1,8,1,10.1,8,1,7.7,0,8,1
2017/1/8,23.0,0,8,1,5.7,8,1,0.0,0,8,1
2017/1/9,0.0,0,8,1,14.1,8,1,5.5,0,8,1
2017/1/10,0.0,0,8,1,13.5,8,1,6.4,0,8,1
2017/1/11,0.0,0,8,1,9.4,8,1,3.2,0,8,1
2017/1/12,0.0,0,8,1,9.2,8,1,5.1,0,8,1
2017/1/13,0.0,0,8,1,9.9,8,1,6.6,0,8,1
2017/1/14,13.5,0,8,1,4.6,8,1,0.0,0,8,1
2017/1/15,23.0,0,8,1,1.6,8,1,0.9,0,8,1
2017/1/16,7.5,0,8,1,3.5,8,1,2.5,0,8,1
2017/1/17,0.0,0,8,1,6.6,8,1,5.9,0,8,1
2017/1/18,0,1,8,1,8.3,8,1,8.7,0,8,1
